,PR-AUC,ROC-AUC,Max F1,Max F1 Precision,Max F1 Recall,runtime,status,model,subsample,preprocessor,postprocessor,seed,lr,anom_fraction,dataset
561,0.9151911689073204,0.9762046202686202,0.8678905282126365,0.8798812514272665,0.8562222222222222,7.843898773193359,Completed,PW-AE,50000,minmax,none,,0.1,0.09000000000000001,creditcard
562,0.8688890588040141,0.9665106422466422,0.8356467980870174,0.879450036827891,0.796,7.28680944442749,Completed,DAE,50000,minmax,none,,0.02,0.09000000000000001,creditcard
563,0.8708478949114665,0.9687426178266179,0.8133871898442008,0.8460984393757504,0.7831111111111111,4.8510582447052,Completed,HST,50000,minmax,none,,,0.09000000000000001,creditcard
564,0.9203166535927467,0.9762715653235654,0.8745221497638858,0.8850705507510241,0.8642222222222222,7.7281248569488525,Completed,PW-AE,50000,minmax,none,,0.1,0.09000000000000001,creditcard
565,0.893529771369362,0.9703754627594627,0.8552980514239593,0.8888090103043375,0.8242222222222222,7.2818686962127686,Completed,DAE,50000,minmax,none,,0.02,0.09000000000000001,creditcard
566,0.8404970728694995,0.9677757875457875,0.762505254308533,0.7232854864433812,0.8062222222222222,4.8973541259765625,Completed,HST,50000,minmax,none,,,0.09000000000000001,creditcard
567,0.9200278114155938,0.9768218315018314,0.8737356517786112,0.8941614328913701,0.8542222222222222,8.087378978729248,Completed,PW-AE,50000,minmax,none,,0.1,0.09000000000000001,creditcard
568,0.8678565451638443,0.9655451868131868,0.8338047290417469,0.8492740262733348,0.8188888888888889,7.298534631729126,Completed,DAE,50000,minmax,none,,0.02,0.09000000000000001,creditcard
569,0.8136742808055525,0.9611155702075702,0.7665694039182992,0.7217425431711146,0.8173333333333334,4.921780824661255,Completed,HST,50000,minmax,none,,,0.09000000000000001,creditcard
570,0.9147160819925063,0.9762014446059902,0.8677884615384615,0.9020899591094956,0.836,7.69683051109314,Completed,PW-AE,50000,minmax,none,,0.1,0.095,creditcard
571,0.8685254896391492,0.9644202291363767,0.8348123596706939,0.8481425157505974,0.8218947368421052,7.201828241348267,Completed,DAE,50000,minmax,none,,0.02,0.095,creditcard
572,0.9072668927351398,0.9730101564408258,0.8409378960709759,0.8437897414158542,0.8381052631578947,4.860836029052734,Completed,HST,50000,minmax,none,,,0.095,creditcard
573,0.9274385080419056,0.9771621471357952,0.8848680667743672,0.9058434399117972,0.8648421052631579,7.795483827590942,Completed,PW-AE,50000,minmax,none,,0.1,0.095,creditcard
574,0.8809541316342693,0.9663119558011051,0.8459710520630807,0.8686779059449867,0.8244210526315789,7.289690017700195,Completed,DAE,50000,minmax,none,,0.02,0.095,creditcard
575,0.7525394100291602,0.9238880511776679,0.6937675221048091,0.7110963748894783,0.6772631578947368,4.941405296325684,Completed,HST,50000,minmax,none,,,0.095,creditcard
576,0.9148755596999417,0.9739414667054378,0.8693175594260051,0.9061429550125599,0.8353684210526315,7.838119983673096,Completed,PW-AE,50000,minmax,none,,0.1,0.095,creditcard
577,0.871228196250772,0.9645355789473685,0.8398824425819092,0.8695064232589588,0.8122105263157895,7.305915594100952,Completed,DAE,50000,minmax,none,,0.02,0.095,creditcard
578,0.8975208556944084,0.9662652817679558,0.8351151315789472,0.8159903575733226,0.8551578947368421,4.97437310218811,Completed,HST,50000,minmax,none,,,0.095,creditcard
579,0.913081130108236,0.9728497679558011,0.8665217391304348,0.8957303370786517,0.8391578947368421,7.790813684463501,Completed,PW-AE,50000,minmax,none,,0.1,0.095,creditcard
580,0.8762191320159228,0.9639139377726084,0.8428384849804093,0.8724650743578188,0.8151578947368421,7.280529737472534,Completed,DAE,50000,minmax,none,,0.02,0.095,creditcard
581,0.831402468736402,0.9647021064262867,0.7321050402371877,0.7364720920323817,0.7277894736842105,4.881537675857544,Completed,HST,50000,minmax,none,,,0.095,creditcard
