,PR-AUC,ROC-AUC,Max F1,Max F1 Precision,Max F1 Recall,runtime,status,model,subsample,preprocessor,postprocessor,seed,lr,optimizer_fn,dataset
372,0.8342212188741218,0.99769706571262,0.7836879432624113,0.7542662116040956,0.8154981549815498,19.928908348083496,Completed,DAE,50000,minmax,none,42,0.06399999999999999,sgd,covertype
373,0.8296949783023222,0.9978492691029057,0.7747440273037542,0.7206349206349206,0.8376383763837638,19.84882616996765,Completed,DAE,50000,minmax,none,43,0.06399999999999999,sgd,covertype
374,0.8130325177940148,0.9971707702640534,0.7622439893143367,0.7366609294320138,0.7896678966789668,19.855834484100342,Completed,DAE,50000,minmax,none,42,0.128,sgd,covertype
375,0.7924809688913402,0.9971519686687829,0.7675401521555367,0.7082683307332294,0.8376383763837638,19.61226224899292,Completed,DAE,50000,minmax,none,43,0.128,sgd,covertype
376,0.8157271890054173,0.9973763567551968,0.7642857142857142,0.740484429065744,0.7896678966789668,19.815255403518677,Completed,DAE,50000,minmax,none,42,0.256,sgd,covertype
377,0.8109750970518779,0.9971258180372655,0.7760141093474426,0.7432432432432432,0.8118081180811808,20.03200626373291,Completed,DAE,50000,minmax,none,43,0.256,sgd,covertype
378,0.40685702430060106,0.8759013165456238,0.551948051948052,0.53125,0.5743243243243243,14.311411619186401,Completed,AE,50000,minmax,none,42,0.001,sgd,creditcard
379,0.4131815097994568,0.8672017821399993,0.5683453237410071,0.6076923076923076,0.5337837837837838,14.648935317993164,Completed,AE,50000,minmax,none,43,0.001,sgd,creditcard
380,0.380340796430508,0.9239905525761659,0.5372168284789645,0.515527950310559,0.5608108108108109,14.563416004180908,Completed,AE,50000,minmax,none,42,0.0020000000000000005,sgd,creditcard
381,0.38901738596342106,0.9207200611106172,0.5588235294117647,0.6129032258064516,0.5135135135135135,14.577725648880005,Completed,AE,50000,minmax,none,43,0.0020000000000000005,sgd,creditcard
382,0.3421483180304248,0.95405630395701,0.5,0.5069444444444444,0.49324324324324326,13.719877004623413,Completed,AE,50000,minmax,none,42,0.004000000000000001,sgd,creditcard
383,0.3885799959872802,0.9575395874491195,0.5625,0.6666666666666666,0.4864864864864865,13.860144138336182,Completed,AE,50000,minmax,none,43,0.004000000000000001,sgd,creditcard
384,0.34932164016505585,0.9666388184702395,0.5033557046979866,0.5,0.5067567567567568,13.61859917640686,Completed,AE,50000,minmax,none,42,0.008000000000000004,sgd,creditcard
385,0.4090294464567367,0.9702210434778837,0.5543071161048689,0.6218487394957983,0.5,13.64631724357605,Completed,AE,50000,minmax,none,43,0.008000000000000004,sgd,creditcard
386,0.37522798585566636,0.9690933812734341,0.5066666666666666,0.5,0.5135135135135135,13.415677547454834,Completed,AE,50000,minmax,none,42,0.016,sgd,creditcard
387,0.44422007320530843,0.9721316990182833,0.5579710144927538,0.6015625,0.5202702702702703,13.480393648147583,Completed,AE,50000,minmax,none,43,0.016,sgd,creditcard
388,0.3909477172829023,0.9694684102782073,0.5065789473684211,0.4935897435897436,0.5202702702702703,12.835460424423218,Completed,AE,50000,minmax,none,42,0.03200000000000001,sgd,creditcard
389,0.457878472478993,0.9719128078572031,0.5390625,0.6388888888888888,0.46621621621621623,12.801009893417358,Completed,AE,50000,minmax,none,43,0.03200000000000001,sgd,creditcard
390,0.378261461662783,0.9694803374746005,0.4868913857677903,0.5462184873949579,0.4391891891891892,12.87758731842041,Completed,AE,50000,minmax,none,42,0.06399999999999999,sgd,creditcard
391,0.44542976188028777,0.972188759810119,0.5252525252525252,0.5234899328859061,0.527027027027027,12.721014022827148,Completed,AE,50000,minmax,none,43,0.06399999999999999,sgd,creditcard
392,0.3336426168200042,0.9695357718305643,0.4659498207885305,0.4961832061068702,0.4391891891891892,13.819883584976196,Completed,AE,50000,minmax,none,42,0.128,sgd,creditcard
393,0.4059752685000201,0.97308994081942,0.5152542372881356,0.5170068027210885,0.5135135135135135,13.960707187652588,Completed,AE,50000,minmax,none,43,0.128,sgd,creditcard
394,0.2685850104063123,0.9684165128781191,0.43086816720257237,0.4110429447852761,0.4527027027027027,13.829119443893433,Completed,AE,50000,minmax,none,42,0.256,sgd,creditcard
